,cm_cd,IncomePA,cm_occup,E2Channel,IsKarvy,KRA YN,age,months_since_last_login,months_since_last_trade,dp_holding,total_logins_one_year,total_trades_one_year
42304,10632294,5_10L,S,CAT,0,Y,29.0,4.8520478010701416,132.0,0.0,1.0,0.0
42337,10161016,<=1L,S,CAT,0,N,54.0,2.3879314947804846,132.0,0.0,43.0,0.0
42345,10884742,5_10L,P,CAT,0,Y,61.0,2.847899871954554,4.884902685154003,12645.0,36.0,3.0
42368,10247230,<=1L,P,CAT,0,N,20.0,11.784428342765043,132.0,0.0,1.0,0.0
42375,10941542,<=1L,S,CAT,0,Y,22.0,1.500849624516208,2.4536412629482087,0.0,15.0,1.0
42418,10615320,5_10L,P,CAT,0,Y,59.0,132.0,132.0,0.0,0.0,0.0
42421,11126088,5_10L,S,CAT,0,Y,23.0,3.242158480960899,1.2380105518453113,0.0,237.0,1.0
42431,10674283,5_10L,S,Franchisee,1,N,29.0,4.457789192063796,1.6322691608516564,0.0,19.0,1.0
42439,11231913,5_10L,P,Franchisee,0,N,25.0,3.340723133212485,2.0922375380257257,0.0,64.0,1.0
42469,10601987,5_10L,P,CAT,0,N,34.0,132.0,132.0,0.0,0.0,0.0
42473,10472322,5_10L,P,CAT,0,N,25.0,132.0,132.0,0.0,0.0,0.0
42489,12347182,5_10L,P,CAT,0,N,29.0,132.0,132.0,0.0,0.0,0.0
42503,10308197,5_10L,P,CAT,0,N,25.0,6.264807816676211,132.0,0.0,15.0,0.0
42505,100000VB,<=1L,O,CAT,0,N,35.0,4.720628264734693,132.0,0.0,17.0,0.0
42513,11266138,<=1L,S,CAT,0,Y,31.0,5.016322221489451,132.0,0.0,5.0,0.0
42524,10079976,<=1L,P,CAT,0,N,27.0,132.0,132.0,0.0,0.0,0.0
42528,10615063,5_10L,P,CAT,0,N,22.0,14.018560460467665,132.0,0.0,0.0,0.0
42545,1001VIKA,<=1L,S,CAT,0,N,22.0,132.0,1.2708654359291731,31.0,0.0,1.0
42547,10991010,<=1L,S,CAT,0,N,22.0,2.4536412629482087,2.4536412629482087,0.0,23.0,1.0
42570,10482146,5_10L,P,CAT,0,N,27.0,132.0,132.0,0.0,0.0,0.0
42604,12347046,5_10L,P,CAT,0,N,26.0,132.0,132.0,0.0,0.0,0.0
42611,00301JPR,others,others,others,0,N,37.0,1.2380105518453113,5.44343571457966,1275.0,187.0,102.0
42625,10776875,5_10L,P,CAT,0,N,25.0,1.0408812473421387,1.2708654359291731,0.0,84.0,1.0
42640,12341295,<=1L,ST,CAT,0,N,20.0,12.934349285700216,2.880754756038416,0.0,0.0,1.0
42674,10615144,5_10L,P,CAT,0,Y,28.0,132.0,132.0,0.0,0.0,0.0
42699,12345965,1_5L,B,CAT,0,N,30.0,2.749335219702968,3.143593828709313,0.0,64.0,14.0
42715,12277724,5_10L,P,CAT,0,Y,39.0,132.0,132.0,0.0,0.0,0.0
42746,10414689,5_10L,P,CAT,0,N,21.0,11.915847879100491,132.0,0.0,0.0,0.0
42763,10744498,<=1L,S,CAT,0,N,23.0,3.4721426695479334,132.0,0.0,4.0,0.0
42778,10615361,<=1L,P,CAT,0,N,43.0,132.0,132.0,0.0,0.0,0.0
42781,11600083,<=1L,ST,CAT,0,N,18.0,132.0,0.9423165950905524,0.0,0.0,1.0
42788,10936976,<=1L,S,CAT,0,Y,19.0,132.0,1.7308338131032426,0.0,0.0,1.0
42809,10981235,<=1L,S,CAT,0,N,20.0,0.8437519428389662,0.8437519428389662,0.0,10.0,5.0
42823,10236632,<=1L,S,CAT,0,N,19.0,2.749335219702968,132.0,0.0,15.0,0.0
42849,10002179,1_5L,O,CAT,0,N,23.0,132.0,132.0,0.0,0.0,0.0
42850,10604549,<=1L,S,CAT,0,N,39.0,132.0,3.242158480960899,0.0,0.0,1.0
42866,12345CSI,5_10L,P,GL Investments,0,N,21.0,6.757631077934143,132.0,0.0,9.0,0.0
42911,10615211,5_10L,P,CAT,0,N,20.0,12.014412531352075,132.0,0.0,0.0,0.0
42944,11973969,<=1L,S,CAT,0,N,26.0,7.151889686940488,26.536271296419123,0.0,13.0,0.0
42989,10220965,<=1L,S,CAT,0,Y,19.0,1.1723007836775872,1.2051556677614492,0.0,1.0,1.0
42999,10014295,5_10L,S,CAT,0,Y,44.0,1.3694300881807595,1.2708654359291731,0.0,18.0,1.0
43024,11155546,<=1L,S,CAT,0,Y,19.0,2.223657074361174,1.895108233522553,0.0,8.0,1.0
43071,11897576,1_5L,S,CAT,0,N,28.0,132.0,1.2708654359291731,0.0,0.0,1.0
43083,10292105,5_10L,P,CAT,0,N,30.0,0.7123324065035178,1.9608180016902768,0.0,12.0,1.0
43088,10883387,5_10L,S,CAT,0,N,34.0,1.1723007836775872,1.1723007836775872,0.0,2.0,2.0
43185,10779016,5_10L,P,CAT,0,N,31.0,7.3490189914436606,132.0,0.0,6.0,0.0
43215,11176494,<=1L,S,CAT,0,Y,20.0,3.143593828709313,3.242158480960899,0.0,3.0,1.0
43231,11104532,5_10L,P,CAT,0,N,23.0,3.275013365044761,3.833546394470417,0.0,157.0,2.0
43238,11191460,1_5L,B,CAT,0,N,23.0,1.6651240449355185,132.0,0.0,1.0,0.0
43249,10890456,<=1L,P,CAT,0,N,23.0,11.981557647268216,132.0,0.0,0.0,0.0
43255,10011620,<=1L,S,CAT,0,N,25.0,132.0,2.617915683367519,31.0,0.0,1.0
43257,10944011,5_10L,P,CAT,0,Y,22.0,9.84599018181718,132.0,0.0,1.0,0.0
43266,11071979,<=1L,O,CAT,0,Y,42.0,1.53370450860007,132.0,0.0,11.0,0.0
43335,10096718,<=1L,ST,CAT,0,N,22.0,6.363372468927798,132.0,0.0,3.0,0.0
43338,12507882,5_10L,P,CAT,0,Y,36.0,132.0,132.0,0.0,0.0,0.0
43391,10792383,<=1L,S,CAT,0,N,21.0,1.7308338131032426,1.7308338131032426,0.0,15.0,1.0
43404,11076992,<=1L,P,others,0,N,23.0,4.98346733740559,6.363372468927798,0.0,607.0,18.0
43424,10540976,<=1L,S,CAT,0,Y,19.0,4.162095235309037,1.9608180016902768,0.0,5.0,1.0
43428,10615156,<=1L,P,CAT,0,N,30.0,132.0,132.0,0.0,0.0,0.0
43439,12587672,5_10L,P,CAT,0,N,31.0,132.0,132.0,0.0,0.0,0.0
